,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y27,0.6053809319636971,0.9444175790327274,0.018434580030739646,0.45813172486102527,3.5261094796651794e-11,0.0002757756455724524
y28,0.8177447606442879,0.7788842131931365,0.043722295745556784,0.6433492087338795,1.5645786286231064e-12,0.007824918559125687
y29,0.012687562034255565,0.8134462612533401,0.008517459082878312,0.6102824045306747,4.029796903225899e-22,1.1357056491708867e-05
y30,9.232654055077079e-29,0.8863886502476624,0.6137285172508258,0.42549593649157935,0.1893866573394316,1.3230989940525858e-05
y31,0.03520137459192089,0.20619585981005784,0.11393434632219801,0.1388944681967625,0.005317659312147601,0.003959709477123169
y32,7.01131580475324e-09,0.9630277409563384,0.17172140443391415,0.9526630272552635,0.07749755656841967,8.267062412323423e-05
y33,0.716631108165549,0.7371852528626697,0.4953711964703056,0.9270517618419687,0.4042177670242163,0.0024929667471602097
y34,1.4847491955493996e-158,0.01709178638318451,0.7669114440144112,0.054095220575825595,0.00014973256011972187,0.9999918841051311
y35,1.2582858111444693e-06,0.750978431139603,0.0001374838953937057,0.6283007541800445,7.265874857650189e-32,4.282830833818504e-05
y36,0.014898464752092859,0.08831175710239093,0.9241049047861937,0.4546039100167698,0.07134937270808986,1.919479784021382e-05
y37,5.001352273092216e-21,0.012322359440966733,0.47653398272852854,0.14498966584125125,2.3013987916257904e-16,2.6753425284153447e-05
y38,1.3539868141178362e-76,0.7413019724691237,0.003611314168239167,0.7399431721257788,1.072391119198118e-17,0.9998914933755868
y39,9.03139611596055e-46,0.04035468262799633,0.10822512962747935,0.24526590195566633,4.152852003928875e-29,4.549432181807594e-05
y40,0.000636348612622717,0.5055456647852545,0.12128300033214204,0.6553685076091829,0.2009932111571383,0.00016854269961361591
y41,0.7901185365917868,0.8692444525610808,2.747350929122463e-05,0.337362004109622,2.6076006505974567e-22,2.925137673749018e-05
y42,0.8657163479354741,0.944968052411148,0.12176622761533981,0.17802627118070813,2.2209485028165015e-05,0.001151755391775665
y43,0.8551243033781171,0.882448342044756,0.018904591492462715,0.4144256453746368,2.392469184466701e-07,1.59839986390445e-05
y44,1.8559327930069185e-34,0.5574879487585847,0.5635134044511174,0.12487446124336427,0.5700892678074991,0.05054421180110245
y45,0.06722263195328029,0.06856119911902735,0.5782616452266471,0.5064534674857712,0.0002373368215968028,4.9382512968064655e-05
y46,0.2651335599667869,0.4905524266032478,0.0929444992532988,0.5231660107885998,0.12387410085954853,0.9999986045302037
