1
1
1
	P_Value
y325	0.006847506
y326	0.971976753
y327	0.584899075
y328	0.920504038
y329	0.30196025600000004
y330	0.031552744
y331	0.860130847
y332	0.059306162999999995
y333	0.282324382
y334	0.165007232
y335	0.8211307790000001
y336	0.22220557600000002
y337	0.985957199
y338	0.029178586
y339	0.003733329
y340	0.033535797
y341	0.08998828699999999
y342	0.508785261
y343	0.877286145
y344	0.101327661
y345	0.394915022
y346	0.132762582
y347	0.021234022999999998
y348	0.40397573299999995
y349	0.12238313199999999
y350	0.31861359300000003
y351	0.09689730099999999
y352	0.111118337
y353	0.8767317440000001
y354	0.09296752800000001
y355	0.052512561
y356	0.28287090800000003
y357	0.267695058
y358	0.06147555
y359	0.014489448
y360	0.014776996
y361	0.9194884520000001
y362	0.845053205
y363	0.195469333
y364	0.010366903
y365	0.23314403600000003
y366	0.584072727
y367	0.109430333
y368	0.026175061
y369	0.11339131
y370	0.7176566990000001
y371	0.7092248520000001
y372	0.0013140089999999999
y373	0.173041287
y374	0.038276227
y375	0.219610676
y376	0.238044521
y377	0.231842988
y378	0.038850672999999995
y379	0.406342989
y380	0.005998785
y381	0.0466612
y382	0.413276629
y383	0.392256909
y384	0.039002407999999995
y385	0.029090601
y386	0.467140419
y387	0.845353556
y388	0.002635186
y389	0.907860089
y390	0.000209495
y391	0.10811464
y392	0.010506904
y393	0.19752744600000002
y394	0.405300884
y395	0.11218018699999999
y396	0.012666816000000001
y397	0.37419009299999995
y398	0.509520774
y399	0.537590745
y400	0.27733033
y401	0.585925619
y402	0.8543596809999999
y403	0.238409097
y404	0.134224824
y405	0.0155809
y406	0.9342547520000001
y407	0.059100682
y408	0.057263877000000005
y409	0.641718494
y410	0.119722389
y411	0.298002461
y412	0.572975035
y413	0.9957108159999999
y414	0.441483125
y415	0.005997439
y416	0.874205762
y417	0.291188485
y418	0.07919673
y419	0.025387535
y420	0.507436714
y421	0.817353235
y422	0.536961799
y423	0.318021799
y424	0.601947656
y425	0.122338216
y426	0.915074675
y427	0.14297516
y428	0.01737177
y429	0.083672211
y430	0.193102002
y431	0.265471032
y432	0.076923199
y433	0.004490842
y434	0.18913572899999997
y435	0.040882992
y436	0.458755769
y437	0.7396768890000001
y438	0.580942156
y439	0.526950764
y440	0.043980239000000004
y441	0.034036711000000004
y442	0.197945333
y443	0.010169593000000001
y444	0.07756392299999999
y445	0.145061085
y446	0.35489485299999995
y447	0.294113158
y448	0.075344144
y449	0.033381378999999996
y450	0.186046305
y451	0.052547433
y452	0.415635484
y453	0.743557007
y454	0.604963361
y455	0.313752667
y456	0.061001929
y457	0.573898404
y458	0.8490057129999999
y459	0.16134865
y460	0.0053357330000000005
y461	0.7969931170000001
y462	0.36944818799999996
y463	0.659223795
y464	0.365985486
y465	0.978180655
y466	0.7183346690000001
y467	0.10423233900000001
y468	0.9970354229999999
y469	0.511320756
y470	0.014262861000000002
y471	0.131191461
y472	0.306601007
y473	0.17858771
y474	0.856660761
y475	0.436592086
y476	0.000671907
y477	0.018972674
y478	0.45188638
y479	0.32121131199999997
y480	0.057131414000000005
y481	0.077351983
y482	0.060436881
y483	0.062827954
y484	0.350479187
y485	0.161112641
y486	0.21456199199999998
y487	0.10026374099999999
y488	0.7898530570000001
y489	0.544525086
y490	0.09614512800000001
y491	0.89403847
y492	0.44493796
y493	0.925245091
y494	0.22613025899999997
y495	0.33615294700000004
y496	0.6433421539999999
y497	0.011246156
y498	0.131620842
y499	0.154862769
y500	0.191583931
y501	0.9004482970000001
y502	0.021208151
y503	0.236292268
y504	0.856171883
y505	0.6859113059999999
y506	0.012485126000000001
y507	0.45347605700000004
y508	0.148506392
y509	0.025686862
y510	0.8707438940000001
y511	0.234833271
y512	0.662582301
y513	0.559114656
y514	0.011142532
y515	0.032846966
y516	0.157434284
y517	0.076664892
y518	0.240455723
y519	0.605431993
y520	0.011004003
y521	0.12872193699999998
y522	0.023640875
y523	0.14961173
y524	0.060984177
y525	0.5618389770000001
y526	0.012612492
y527	0.007664341
y528	0.224538264
y529	0.09361368
y530	0.683964936
y531	0.6771739659999999
y532	0.0009569289999999999
y533	0.127437646
y534	0.327432428
y535	0.159110651
y536	0.834116566
y537	0.8406546570000001
y538	0.47410045100000003
y539	0.881484033
y540	0.49456764799999997
y541	0.293699333
y542	0.9261420890000001
y543	0.492305179
y544	0.0017328279999999998
y545	0.021846395
y546	0.606372005
y547	0.895330643
y548	0.043214567999999995
y549	0.033437178
y550	0.030007517
y551	0.263955557
y552	0.225302499
y553	0.426809303
y554	0.769910852
y555	0.13440453
y556	0.077838575
y557	0.019244867
y558	0.05383501
y559	0.927364567
y560	0.970251075
y561	0.167758831
y562	0.169714809
y563	0.286861322
y564	0.119352427
y565	0.081584213
y566	0.238322504
y567	0.038702347000000005
y568	0.34949095
y569	0.46566671
y570	0.00997242
y571	0.132001697
y572	0.30726651
y573	0.222182126
y574	0.027866702
y575	0.512510017
y576	0.014496717
y577	0.193250743
y578	0.734335409
y579	0.061755773
y580	0.005547981
y581	0.6907180159999999
y582	0.030909732999999998
y583	0.317967338
y584	0.267095541
y585	0.00010355799999999999
y586	0.182325185
y587	0.0013311970000000001
y588	0.089846839
y589	0.005366929
y590	0.392829529
y591	0.16573502699999998
y592	0.915776385
y593	0.220157245
y594	0.326121917
y595	0.063664578
y596	0.269841202
y597	0.766844759
y598	0.14118218
y599	0.5269529279999999
y600	0.08238813
y601	0.000332438
y602	0.17238929
y603	0.60983475
y604	0.927043397
y605	0.104605133
y606	0.001211688
y607	0.01962017
y608	0.05694246
y609	0.153557799
y610	0.598426107
y611	0.872689102
y612	0.000374796
y613	0.12363410000000001
y614	0.250737652
y615	0.445372599
y616	0.070450415
y617	0.321470861
y618	0.982661439
y619	0.96587504
y620	0.818786949
y621	0.044577505999999996
y622	0.468524094
y623	0.7440442909999999
y624	0.032726284
y625	0.33014443600000004
y626	0.069542877
y627	0.126348242
y628	0.021461734
y629	0.092331965
y630	0.13184228
y631	0.455038086
y632	0.443769085
