1
1
1
	P_Value
y1387	0.015636592
y1388	0.050809732999999996
y1389	0.012484975
y1390	0.104821825
y1391	0.059221697999999996
y1392	0.169611134
y1393	0.071483539
y1394	0.038330787000000005
y1395	0.002599223
y1396	0.984014917
y1397	0.12249930699999999
y1398	0.639766255
y1399	0.131469006
y1400	0.125184005
y1401	0.04997261099999999
y1402	0.045287212
y1403	0.057408968
y1404	0.09715230300000001
y1405	0.450144796
y1406	0.917550726
y1407	0.260082065
y1408	0.612050458
y1409	0.902668485
y1410	0.12379099
y1411	0.262385321
y1412	0.294649497
y1413	0.207154686
y1414	0.864523349
y1415	0.19326880800000001
y1416	0.339122341
y1417	0.151193263
y1418	0.026991242999999998
y1419	0.10936930800000001
y1420	0.30264583300000003
y1421	0.622894736
y1422	0.16549031
y1423	0.006609705
y1424	0.059567182999999996
y1425	0.153059284
y1426	0.099811606
y1427	0.028668156
y1428	0.009356194
y1429	0.066696905
y1430	0.56844365
y1431	0.7749671229999999
y1432	0.70577404
y1433	0.052305212999999996
y1434	0.669837291
y1435	0.364283997
y1436	0.10992646800000001
y1437	0.8908746609999999
y1438	0.11638675
y1439	0.19873558300000002
y1440	0.008361976
y1441	0.349449015
y1442	0.0139775
y1443	0.038912148
y1444	0.003639742
y1445	0.313685192
y1446	0.053821573
y1447	0.00998227
y1448	0.059378015
y1449	0.00981062
y1450	0.967133108
y1451	0.513327719
y1452	0.562761906
y1453	0.12187836199999999
y1454	0.38942849799999996
y1455	0.248075088
y1456	0.022775395
y1457	0.248502902
y1458	0.47596259700000004
y1459	0.064223099
y1460	0.564066724
y1461	0.092798752
y1462	0.011368193
y1463	0.39172421700000004
y1464	0.782146315
y1465	0.42916277
y1466	0.756722314
y1467	0.7309082370000001
y1468	0.708506564
y1469	0.53539302
y1470	0.959202206
y1471	0.800388585
y1472	0.06374903
y1473	0.027413141000000002
y1474	0.02873842
y1475	0.49178993200000004
y1476	0.555015842
y1477	0.908750457
y1478	0.434109399
y1479	0.45300899899999997
y1480	0.138910706
y1481	0.22712079300000002
y1482	0.152066582
y1483	0.205002121
y1484	0.509643015
y1485	0.16144851300000002
y1486	0.928715843
y1487	0.020147167
y1488	0.872757641
y1489	0.263319823
y1490	0.035961587999999996
y1491	9.93e-05
y1492	0.11738788900000001
y1493	0.178953671
y1494	0.09078282900000001
y1495	0.671136563
y1496	0.031221626000000002
y1497	0.584708946
y1498	0.929072896
y1499	0.75887072
y1500	0.020726122
y1501	0.312335862
y1502	0.424877524
y1503	0.052075899
y1504	0.690319873
y1505	0.321174867
y1506	0.004167965
y1507	0.034070702
y1508	0.21344938600000002
y1509	0.200092319
y1510	0.566041311
y1511	0.540551097
y1512	0.505303432
y1513	0.158765867
y1514	0.122324018
y1515	0.45195699799999994
y1516	0.171405704
y1517	0.538353031
y1518	0.8511646559999999
y1519	0.265689275
y1520	0.724236615
y1521	0.886221247
y1522	0.517411993
y1523	0.50153843
y1524	0.147999384
y1525	0.178820562
y1526	0.01409366
y1527	0.09362318300000001
y1528	0.550725874
y1529	0.292620243
y1530	0.343479784
y1531	0.146964474
y1532	0.085529652
y1533	0.629908775
y1534	0.294607703
y1535	0.251410339
y1536	0.041446979
y1537	0.296521036
y1538	0.182837427
y1539	0.1513825
y1540	0.9787390009999999
y1541	0.161046596
y1542	0.781977184
y1543	0.34980654299999997
y1544	0.213919647
y1545	0.643028763
y1546	0.26956394699999997
y1547	0.016527721000000002
y1548	0.267699843
y1549	0.735586087
y1550	0.582287885
y1551	0.003496743
y1552	0.151507785
y1553	0.031923325
y1554	0.7924367729999999
y1555	0.051826208
y1556	0.07933253900000001
y1557	0.419278886
y1558	0.765640165
y1559	0.128366552
y1560	0.140123419
y1561	0.06741898
y1562	0.297819702
y1563	0.5131325379999999
y1564	0.364416707
y1565	0.294528575
y1566	0.010271292
y1567	0.9672274040000001
y1568	0.011075669
y1569	0.010660063999999999
y1570	0.106594601
y1571	0.6209041470000001
y1572	0.272392134
y1573	0.021261986
y1574	0.100870948
y1575	0.778931082
y1576	0.590569108
y1577	0.338973553
y1578	0.578609984
y1579	0.16829406800000002
y1580	0.013145405
y1581	0.009975869
y1582	0.055129689
y1583	0.672850469
y1584	0.884794145
y1585	0.00773674
y1586	0.634981671
y1587	0.9444727559999999
y1588	0.08164345
y1589	0.044494645
y1590	0.059451047
y1591	0.43103612
y1592	0.226603529
y1593	0.34710817899999996
y1594	0.11468987900000001
y1595	0.910607267
y1596	0.229760677
y1597	0.627794299
y1598	0.015661726
y1599	0.08442370699999999
y1600	0.725456332
y1601	0.524563847
y1602	0.139355616
y1603	0.006938548
y1604	5.95e-06
y1605	0.9362964309999999
y1606	0.011482792
y1607	0.238139989
y1608	0.021443227000000002
y1609	0.438183625
y1610	0.09807785599999999
y1611	0.0028661159999999997
y1612	0.271646541
y1613	0.02853552
y1614	0.025212996
y1615	0.812594012
y1616	0.49242303600000004
y1617	0.023289912000000003
y1618	0.747071798
y1619	0.010565618
y1620	0.9003669120000001
y1621	0.260549354
y1622	0.019228468000000002
y1623	0.298035059
y1624	0.137385499
y1625	0.166762436
y1626	0.161018471
y1627	0.49225300899999996
y1628	0.502640578
y1629	0.026378576
y1630	0.021771696
y1631	0.197977395
y1632	0.003563974
y1633	0.055949132
y1634	0.615676488
y1635	0.16217952900000002
y1636	0.049230893
y1637	0.6530023389999999
y1638	0.791900015
y1639	0.070644008
y1640	0.48694319999999996
y1641	0.141954415
y1642	0.7005744290000001
y1643	0.33644889899999997
y1644	0.912875055
y1645	0.07133885
y1646	0.147133655
y1647	0.015328821999999999
y1648	0.009084703000000001
y1649	0.7632770640000001
y1650	0.9052337159999999
y1651	0.003583973
y1652	0.487700746
y1653	0.14533971699999998
y1654	0.001899482
y1655	0.029153149
y1656	0.976092457
y1657	0.000161867
y1658	0.270267922
y1659	0.555873236
y1660	0.05042153
y1661	0.50580421
y1662	0.52479175
y1663	0.602992721
y1664	0.117801258
y1665	0.697853838
y1666	0.18021626300000002
y1667	0.006474616999999999
y1668	0.461580161
y1669	0.30596179100000004
y1670	0.001574225
y1671	0.552811065
y1672	0.096516448
y1673	0.754414461
y1674	0.071896538
y1675	0.016749215
y1676	0.112800505
y1677	0.074768341
y1678	0.036502649
y1679	0.0029449959999999996
y1680	0.008107695
y1681	0.45259372200000003
y1682	0.045150662
y1683	0.037421885
y1684	0.070350808
y1685	0.24800310899999997
y1686	0.156908895
y1687	0.437101301
y1688	0.021085066
y1689	0.288023984
y1690	0.33692226799999997
y1691	0.897270248
y1692	0.150246259
y1693	0.942686169
y1694	0.251115661
y1695	0.150528503
y1696	0.44531141799999996
y1697	0.296607644
y1698	0.060386249
y1699	0.59699328
y1700	0.00877653
y1701	0.545047065
y1702	0.318755749
y1703	0.155330289
y1704	0.167063006
y1705	0.589297132
y1706	0.033530732
y1707	0.838744831
y1708	0.24066398
y1709	0.015973704
y1710	0.053195313
y1711	0.08944206800000001
y1712	0.77235077
y1713	0.33668944799999995
y1714	0.031278207
y1715	0.802782842
y1716	0.084086966
y1717	0.016386368000000002
y1718	0.812875008
y1719	0.56257389
y1720	0.37231161
y1721	0.5255118289999999
y1722	0.13574947199999998
y1723	0.086552547
y1724	0.067118526
y1725	0.658882216
y1726	0.525580299
y1727	0.069987915
y1728	0.170126102
y1729	0.015594816000000001
y1730	0.315629459
y1731	0.34913998799999996
y1732	0.029464885
y1733	0.258353795
y1734	0.208673836
y1735	0.049138699
y1736	0.810028401
y1737	0.06631543
y1738	0.862021092
y1739	0.040507108
y1740	0.728386028
y1741	0.425731665
y1742	0.013603195
y1743	0.05292553
y1744	0.316251314
y1745	0.07113004
y1746	0.7679253220000001
y1747	0.026216396
y1748	0.044793525
y1749	0.940342755
y1750	0.915843464
y1751	0.10143934
y1752	0.29343092
y1753	0.24793408
y1754	0.091340565
y1755	0.013518891000000002
y1756	0.172174971
y1757	0.442428986
y1758	0.7777078000000001
y1759	0.27206303800000003
y1760	0.774804488
y1761	0.264929915
y1762	0.030474147000000004
y1763	0.979427383
y1764	0.78193474
y1765	0.006369683
y1766	0.993723213
y1767	0.607878652
y1768	0.9497427190000001
y1769	0.005532223
y1770	0.103813641
y1771	0.239799803
y1772	0.47705378200000004
y1773	0.020768661
y1774	0.230540057
y1775	0.28612705899999996
y1776	0.135090551
y1777	0.7013284240000001
y1778	0.415986608
y1779	0.01113541
y1780	0.003028943
y1781	0.012785675
y1782	0.000699712
y1783	0.044593352999999995
y1784	0.906917997
y1785	0.014209843
y1786	0.00062169
y1787	0.12791632
y1788	0.6510115089999999
y1789	0.061492051
y1790	0.31916010699999997
y1791	0.285040207
y1792	0.082660963
y1793	0.69269441
y1794	0.013751373
y1795	0.535880031
y1796	0.7882020059999999
y1797	0.120450374
y1798	0.230740086
y1799	0.964795814
y1800	0.625831021
y1801	0.6655639839999999
y1802	0.334203581
y1803	0.18262776600000002
y1804	0.79823307
y1805	0.903849743
y1806	0.097522438
y1807	0.17465792600000002
y1808	0.10073619699999999
y1809	0.913088185
y1810	0.457925869
y1811	0.387975578
y1812	0.062227912
y1813	0.277863933
y1814	0.058474393
y1815	0.7969380070000001
y1816	0.323720386
y1817	0.564187924
y1818	0.808470635
y1819	0.360007084
y1820	0.388971181
y1821	0.7605261590000001
y1822	0.19036812
y1823	0.43218325799999996
y1824	0.047170313
y1825	0.173262611
y1826	0.392606059
y1827	0.8094215440000001
y1828	0.119819904
y1829	0.432482883
y1830	0.16061581
y1831	0.04936284
y1832	0.456329508
y1833	0.9745542140000001
y1834	0.072460178
y1835	0.024324087
y1836	0.572306959
y1837	0.8087312109999999
y1838	0.07837730700000001
y1839	0.6423372820000001
y1840	0.18468879
y1841	0.041228878
y1842	0.142289431
y1843	0.163598451
y1844	0.685859247
y1845	0.029942425
y1846	0.306078213
y1847	0.7437370259999999
y1848	0.0015710770000000002
y1849	0.43626815
y1850	0.111218821
y1851	0.956584045
y1852	0.07833097
y1853	0.140639075
y1854	0.003662705
y1855	0.30316114899999996
y1856	0.6473703129999999
y1857	0.036819325
y1858	0.19066349100000002
y1859	0.355781709
y1860	0.045419145999999994
y1861	0.105371489
y1862	0.800826145
y1863	0.932643529
y1864	0.29106659100000004
y1865	0.589368034
y1866	0.022741754
y1867	0.820402167
y1868	0.17330527399999998
y1869	0.763773673
y1870	0.260449769
y1871	0.403989696
y1872	0.016028018999999998
y1873	0.176683344
y1874	0.8448863329999999
y1875	0.10646954300000001
y1876	0.075222999
y1877	0.488445895
y1878	0.9062586020000001
y1879	0.904345347
y1880	0.731428504
y1881	0.232254774
y1882	1.13e-05
y1883	0.314027232
y1884	0.127847094
y1885	0.03217843
y1886	0.20439295899999999
y1887	0.152214936
y1888	0.004461757
y1889	0.19194779999999997
y1890	0.054726209000000005
y1891	0.8152102370000001
y1892	0.630528915
y1893	0.001251708
y1894	0.175030543
y1895	0.024653623
y1896	0.027796714
y1897	0.151108876
y1898	0.367512849
y1899	0.0038852920000000003
y1900	0.27363825199999997
y1901	0.02043663
y1902	0.110496482
y1903	0.013886345
y1904	0.21206157899999997
y1905	0.005597969
y1906	0.014540333
y1907	0.1855648
y1908	0.041379427999999996
y1909	0.473018599
y1910	0.41908794200000005
y1911	0.379147019
y1912	0.00850214
y1913	0.146895573
y1914	0.6794446209999999
y1915	0.027364887999999997
y1916	0.12547988599999998
y1917	0.920820781
y1918	0.683617444
y1919	0.6588410720000001
y1920	0.114924295
y1921	0.061710483
y1922	0.111378315
y1923	0.050083693
y1924	0.429636223
y1925	0.079407769
y1926	0.224281549
y1927	0.013365142
y1928	0.147681477
y1929	0.052271267999999996
y1930	0.311298456
y1931	0.32569334699999997
y1932	0.024119977999999997
y1933	0.935328093
y1934	0.08412030599999999
y1935	0.825136058
y1936	0.020062977
y1937	0.555234485
y1938	0.210943066
y1939	0.080656175
y1940	0.002461118
y1941	0.041911763
y1942	0.797117016
y1943	0.26614664899999996
y1944	0.016648081000000002
y1945	0.148411436
y1946	0.030139211000000003
y1947	0.196964765
y1948	0.961911904
y1949	0.213988504
y1950	0.74226538
y1951	0.7905212709999999
y1952	0.13161641400000001
y1953	0.283781254
y1954	1.92e-05
y1955	0.478008603
y1956	0.330945139
y1957	0.319421261
y1958	0.27826758
y1959	0.019250179
y1960	0.05687337
y1961	0.344753381
y1962	0.9945925259999999
y1963	0.296102879
y1964	0.9604171
y1965	0.36798089700000003
y1966	0.639425323
y1967	0.456298453
y1968	0.555621755
y1969	0.037341184
y1970	0.39160067600000004
y1971	0.00386781
y1972	0.01268463
y1973	0.06006013599999999
y1974	0.49405980299999996
y1975	0.890525065
y1976	0.028618357999999997
y1977	0.9762035790000001
y1978	0.012774953
y1979	0.021702695
y1980	0.007140031999999999
y1981	0.951677915
y1982	0.51855168
y1983	0.9067571259999999
y1984	0.991980635
y1985	0.061826510999999994
y1986	0.514423285
y1987	0.22376833899999998
y1988	0.40069003299999995
y1989	0.11085333900000001
y1990	0.080389535
y1991	0.001446594
y1992	0.19693097199999998
y1993	0.667779271
y1994	0.20551353600000002
y1995	0.44090234100000003
y1996	0.199144395
y1997	0.696802329
y1998	0.121616029
y1999	0.44414136200000004
y2000	0.057970383
y2001	0.708538874
y2002	0.002020467
y2003	0.020483629
y2004	0.138136217
y2005	0.040226959
y2006	0.070069739
y2007	0.9706455009999999
y2008	0.004564026
y2009	0.7301130159999999
y2010	0.85082979
y2011	0.269569677
y2012	0.6267861339999999
y2013	0.054407682
y2014	0.173271514
y2015	0.821583614
y2016	0.132587215
y2017	0.955794163
y2018	0.005957143000000001
y2019	0.232371152
y2020	0.349883648
y2021	0.789072786
y2022	0.0032586459999999996
y2023	0.595532145
y2024	0.549790688
y2025	0.08318067
y2026	0.065043118
y2027	0.760927845
y2028	0.151938933
y2029	0.007832109
y2030	0.908192943
y2031	0.7006304179999999
y2032	0.8986658609999999
y2033	0.931614836
y2034	0.466133065
y2035	0.05524439
y2036	0.24974607
y2037	0.649845853
y2038	0.29182247699999997
y2039	0.116397406
y2040	0.905253605
y2041	0.824380627
y2042	0.593042418
y2043	0.065466485
y2044	0.42521726
y2045	0.037362434
y2046	0.17503304100000003
y2047	0.18060051600000002
y2048	0.034608881
y2049	0.20753018199999998
y2050	0.507706263
y2051	0.563165748
y2052	0.300390159
y2053	0.043154276
y2054	0.45866348
y2055	0.009359857
y2056	0.002370065
y2057	0.611664876
y2058	0.49449133100000003
y2059	0.5736703129999999
y2060	0.101552776
y2061	0.211829402
y2062	0.07032825
y2063	0.08195688799999999
y2064	0.100253753
y2065	0.048236814
y2066	0.479336156
y2067	0.38323298100000003
y2068	0.032914711
y2069	0.154718454
y2070	0.33848252799999995
y2071	0.07660217400000001
y2072	0.606269255
y2073	0.091101528
y2074	0.70443981
y2075	0.054535803
y2076	0.8540311309999999
y2077	0.032800186
y2078	0.25063029600000003
y2079	0.66574506
y2080	0.764940499
y2081	0.601048511
y2082	0.82298743
y2083	0.317535384
y2084	0.547559821
y2085	0.281146874
y2086	0.690212504
y2087	0.132881647
y2088	0.020402516000000002
y2089	0.626568668
y2090	0.7434810059999999
y2091	0.530441254
y2092	0.48660133299999997
y2093	0.7932225509999999
y2094	0.7869060290000001
y2095	0.135452339
y2096	0.061849819
y2097	0.427449649
y2098	0.35065659299999996
y2099	0.48920218
y2100	0.483444446
y2101	0.643588597
y2102	0.239953867
y2103	0.013000301
y2104	0.196843175
y2105	0.004786837
y2106	0.025813017
y2107	0.324101889
y2108	0.181042573
y2109	0.40750854200000003
y2110	0.087769521
y2111	0.17960932699999999
y2112	0.031535167
y2113	0.019126208999999998
y2114	0.354085421
y2115	0.853120152
y2116	0.023761572999999998
y2117	0.876772862
y2118	0.133417494
y2119	0.0044626629999999995
y2120	0.021143792999999998
y2121	0.8312055979999999
y2122	0.49636692600000004
y2123	0.041414862000000004
y2124	0.350171715
y2125	0.020053955
y2126	0.218450897
y2127	0.43493061299999997
y2128	0.63026579
y2129	0.7209712859999999
y2130	0.088332177
y2131	0.35369628399999997
y2132	0.068974437
y2133	0.09494388
y2134	0.37067669700000005
y2135	0.29534437
y2136	0.217493575
y2137	0.146863974
y2138	0.48357436200000004
y2139	0.421558968
y2140	0.24323802100000003
y2141	0.003673293
y2142	0.221795303
y2143	0.021733371
y2144	0.096930976
y2145	0.198607442
y2146	0.46802544
y2147	0.7877219120000001
y2148	0.660321276
y2149	0.935512241
y2150	0.873989418
y2151	0.44773622700000004
y2152	0.636459047
y2153	0.184494863
y2154	0.186934405
y2155	0.637714994
y2156	0.281281173
y2157	0.971780733
y2158	0.32749843300000003
y2159	0.34339970799999997
y2160	0.044050047
y2161	0.061207120999999996
y2162	0.224446208
y2163	0.439846013
y2164	0.182824387
y2165	0.220340603
y2166	0.013152978000000001
y2167	0.002317786
y2168	0.047857205
y2169	0.037073457000000004
y2170	0.125952789
y2171	0.12332810400000001
y2172	0.19872165
y2173	0.698576056
y2174	0.064941755
y2175	0.109050935
y2176	0.5020213579999999
y2177	0.054851685
y2178	0.8456754240000001
y2179	0.31471259
y2180	0.0028217859999999997
y2181	0.08690014
y2182	0.9683726229999999
y2183	0.473959852
y2184	0.294797323
y2185	0.996392368
y2186	0.00420499
y2187	0.28937319100000003
y2188	0.19372280100000003
y2189	0.742023015
y2190	0.052277024000000005
y2191	0.59722026
y2192	0.974975933
y2193	0.21174499
y2194	0.034125588
y2195	0.008565184
y2196	0.782828025
y2197	0.21119048199999998
y2198	0.611664752
y2199	0.359291019
y2200	0.018451283
y2201	0.22108916899999997
y2202	0.02447539
y2203	0.12320851599999999
y2204	0.571913755
y2205	0.7067755859999999
y2206	0.034530291
y2207	0.481820366
y2208	0.33614507899999996
y2209	0.058888814000000005
y2210	0.36627386100000003
y2211	0.566488009
y2212	0.268600948
y2213	0.060456336
y2214	0.080611765
y2215	0.376166723
y2216	0.100083067
y2217	0.087980509
y2218	0.350368443
y2219	0.16508504300000001
y2220	0.267076975
y2221	0.906526866
y2222	0.535441211
y2223	0.833170346
y2224	0.009488594
y2225	0.987748768
y2226	0.038601558
y2227	0.17635531399999999
y2228	0.749973931
y2229	0.018118233
y2230	0.285711989
y2231	0.060836426
y2232	0.018526992
y2233	0.444467192
y2234	0.47632083
y2235	0.487850954
y2236	0.124819721
y2237	0.475730645
y2238	0.21070542899999997
y2239	0.621782521
y2240	0.011238537
y2241	0.077640006
y2242	0.260458714
y2243	0.005375894
y2244	0.087296474
y2245	0.544665342
y2246	0.9145181029999999
y2247	0.76920019
y2248	0.02861014
y2249	0.031633081
y2250	0.5956853010000001
y2251	0.255888766
y2252	0.28575756199999996
y2253	0.8766353370000001
y2254	0.333181173
y2255	0.140606484
y2256	0.027952891
y2257	0.253847478
y2258	0.217213645
y2259	0.015670958999999998
y2260	0.178255523
y2261	0.168206508
y2262	0.9042061259999999
y2263	0.9710444490000001
y2264	0.014408246999999999
y2265	0.116158783
y2266	0.030592431
y2267	0.17422021
y2268	0.9410843659999999
y2269	0.451367735
y2270	0.013807199
y2271	0.8401942809999999
y2272	0.003782737
y2273	0.16024999
y2274	0.199157492
y2275	0.306926672
y2276	0.162803594
y2277	0.014148111000000001
y2278	0.46365840799999997
y2279	0.129348296
y2280	0.13589087800000002
y2281	0.34967874
y2282	0.200308232
y2283	0.07601150599999999
y2284	0.06079505599999999
y2285	0.259224684
y2286	0.737752436
y2287	0.31045261399999996
y2288	0.17192813199999998
y2289	0.095417041
y2290	0.081613823
y2291	0.19807218
y2292	0.888454083
y2293	0.20196878399999998
y2294	0.852614642
y2295	0.096337946
y2296	0.014138477
y2297	0.06776573
y2298	0.552485416
y2299	0.796662084
y2300	0.825390381
y2301	0.018922462
y2302	0.861669978
y2303	0.948288053
y2304	0.53155221
y2305	0.5584274920000001
y2306	0.358860191
y2307	0.331231333
y2308	0.09668015
y2309	0.9498578879999999
y2310	0.11204000800000001
y2311	0.398609539
y2312	0.001893485
y2313	0.366789707
y2314	0.173108856
y2315	0.01142153
y2316	0.615826997
y2317	0.7801071559999999
y2318	0.23073008
y2319	0.515022533
y2320	0.000855017
y2321	0.771033098
y2322	0.096357424
y2323	0.029002499999999997
y2324	0.913673216
y2325	0.17578017
y2326	0.176205384
y2327	0.098629502
y2328	0.078593254
y2329	0.037598611000000004
y2330	0.13954444400000002
y2331	0.091998842
y2332	0.605779444
y2333	0.23560345
y2334	0.334556717
y2335	0.62156786
y2336	0.06381751599999999
y2337	0.294396426
y2338	0.44403000000000004
y2339	0.223638053
y2340	0.15793022
y2341	0.358922345
y2342	0.19820128899999997
y2343	0.007293758000000001
y2344	0.036834927
y2345	0.100050175
y2346	0.492107355
y2347	0.914252882
y2348	0.041248803
y2349	0.005126697
y2350	0.024586555
y2351	0.32705669800000003
y2352	0.06972081299999999
y2353	0.015238555
y2354	0.059209317000000004
y2355	0.740394662
y2356	0.01929298
y2357	0.10325721800000001
y2358	0.178039132
y2359	0.262950153
y2360	0.766143158
y2361	0.326860312
y2362	0.079003922
y2363	0.000964111
y2364	0.5235923889999999
y2365	0.060952459
y2366	0.604099074
y2367	0.247789075
y2368	0.2278935
y2369	0.950179728
y2370	0.042635832
y2371	0.655792143
y2372	0.36219636899999996
y2373	0.392845637
y2374	0.122137682
y2375	0.483412206
y2376	0.011344478
y2377	0.627794682
y2378	0.430187241
y2379	0.391897615
y2380	0.16986068399999998
y2381	0.47125580799999994
y2382	0.63782134
y2383	0.20850140600000003
y2384	0.805202402
y2385	0.000469479
y2386	0.002647722
y2387	0.23757659600000003
y2388	0.04188757
y2389	0.638289872
y2390	0.066183642
y2391	0.045099970999999996
y2392	0.016316561
y2393	0.417240447
y2394	0.9697888729999999
y2395	0.61167416
y2396	0.466185956
y2397	0.050995857
y2398	0.482775275
y2399	0.8684437779999999
y2400	0.44600217799999997
y2401	0.164357908
y2402	0.48890132700000005
y2403	0.23305082
y2404	0.079161877
y2405	0.170729808
y2406	0.894468899
y2407	0.799429782
y2408	0.656417904
y2409	0.154856993
y2410	0.714325515
y2411	0.380360752
y2412	0.39496966899999997
y2413	0.064918629
y2414	0.134537347
y2415	0.445052063
y2416	0.08087312
y2417	0.540496051
y2418	0.017477569
y2419	0.642169532
y2420	0.00094378
y2421	0.37127262
y2422	0.549347819
y2423	0.571806959
y2424	0.07688376
y2425	0.420759389
y2426	0.076287744
y2427	0.005691521
y2428	0.453908914
y2429	0.021864593999999998
y2430	0.09545656
y2431	0.007853641
y2432	0.060527397000000004
y2433	0.24572417800000002
y2434	0.117186444
y2435	0.587975437
y2436	0.07600629
y2437	0.36409781
y2438	0.19744129
y2439	0.846058915
y2440	0.028944791
y2441	0.003056055
y2442	0.686762676
y2443	0.37350031200000006
y2444	0.8164395609999999
y2445	0.023872265
y2446	0.348823381
y2447	0.6295839329999999
y2448	0.12807718099999998
y2449	0.118753989
y2450	0.276223139
y2451	0.5549614620000001
y2452	0.135274884
y2453	0.200580696
y2454	0.050366207999999996
y2455	0.054839217
y2456	0.458362575
y2457	0.9421884620000001
y2458	0.020497873
y2459	0.632286067
y2460	0.063894775
y2461	0.374847286
y2462	0.271731729
y2463	0.277179754
y2464	0.010148463
y2465	0.027246487000000003
y2466	0.131772104
y2467	0.959273195
y2468	0.087303738
y2469	0.111847625
y2470	0.112137495
y2471	0.044856815999999994
y2472	0.051932109000000004
y2473	0.12700574
y2474	0.10966290199999999
y2475	0.346790301
y2476	0.18375627100000003
y2477	0.18117496100000002
y2478	0.254822327
y2479	0.033574522
y2480	0.13683706699999998
y2481	0.046115678
y2482	0.344571736
y2483	0.759139007
y2484	0.074930855
y2485	0.259848929
y2486	0.017511415
y2487	0.39630685200000004
y2488	0.932982766
y2489	0.6876270720000001
y2490	0.017105019
y2491	0.18058306699999999
y2492	0.135211726
y2493	0.419800144
y2494	0.428651668
y2495	0.024423697999999997
y2496	0.623239007
y2497	0.018018648
y2498	0.45901102200000005
y2499	0.338593165
y2500	0.42646796299999995
y2501	0.029112539
y2502	0.88843092
y2503	0.177754711
y2504	0.331341461
y2505	0.003740479
y2506	0.989327877
y2507	0.7042912720000001
y2508	0.26138064899999996
y2509	0.187488777
y2510	0.23756957399999998
y2511	0.854132705
y2512	0.6065097420000001
y2513	0.19715580100000002
y2514	0.34961482200000005
y2515	0.7441724040000001
y2516	0.306881103
y2517	0.259948252
y2518	0.07303986900000001
y2519	0.406466819
y2520	0.057997267000000005
y2521	0.036052147
y2522	0.210013332
y2523	0.857808912
y2524	0.807763575
y2525	0.22855818100000003
y2526	0.17495947899999997
y2527	0.059625445
y2528	0.48585021100000003
y2529	0.153404753
y2530	0.44046199
y2531	0.335199574
y2532	0.042757788
y2533	0.8941294320000001
y2534	0.603895031
y2535	0.030677549
y2536	0.785945309
y2537	0.226665465
y2538	0.175114362
y2539	0.35845847200000003
y2540	0.176359607
y2541	0.7167916059999999
y2542	0.24135867800000002
y2543	0.015844491000000002
y2544	0.736384238
y2545	0.336811979
y2546	0.339840252
y2547	0.102751624
y2548	0.741608863
y2549	0.292201957
y2550	0.125718719
y2551	0.072236878
y2552	0.002183769
y2553	0.661352125
y2554	0.115244451
y2555	0.395736807
y2556	0.386220664
y2557	0.113210639
y2558	0.925037824
y2559	0.005030462
y2560	0.585376315
y2561	0.7411221309999999
y2562	0.390491782
y2563	0.817734159
y2564	0.08946954800000001
y2565	0.311288606
y2566	0.14694421
y2567	0.45063387899999996
y2568	0.184144074
y2569	0.00497054
y2570	0.00124117
y2571	0.1605561
y2572	0.0890491
y2573	0.709049948
y2574	0.01093997
y2575	0.047848958
y2576	0.02131452
y2577	0.387699975
y2578	0.023570594
y2579	0.204732532
y2580	0.186703457
y2581	0.023997382999999997
y2582	0.039917952
y2583	0.131887223
y2584	0.158568798
y2585	0.0034515740000000002
y2586	0.07049422799999999
y2587	0.339616498
y2588	0.061634468
y2589	0.143410405
y2590	0.12839546300000002
y2591	0.227014918
y2592	0.38212140299999997
y2593	0.8013800040000001
y2594	0.013931022
y2595	0.200670398
y2596	0.874601188
y2597	1.4400000000000001e-05
y2598	0.085597471
y2599	0.093601023
y2600	0.8362540009999999
y2601	0.02028759
y2602	0.171678672
y2603	0.161303244
y2604	0.138255234
y2605	0.606056215
y2606	0.137445431
y2607	0.310536302
y2608	0.031804442999999995
y2609	0.20572478
y2610	0.510656866
y2611	0.7886338829999999
y2612	0.378052214
y2613	0.46524395700000004
y2614	0.029794492000000002
y2615	0.776858617
y2616	0.94134704
y2617	0.498237826
y2618	0.720612886
y2619	0.440199351
y2620	0.677446784
y2621	0.533023512
y2622	0.320568224
y2623	0.25880806
y2624	0.22964125
y2625	0.080422011
y2626	0.6725630570000001
y2627	0.88102539
y2628	0.613906662
y2629	0.46127281600000003
y2630	0.16035175599999998
y2631	0.054435628
y2632	0.941138736
y2633	0.8629789529999999
y2634	0.781973026
y2635	0.7951833140000001
y2636	0.67418074
y2637	0.22367903100000003
y2638	0.007174786
y2639	0.081014066
y2640	0.021581443
y2641	0.009981301
y2642	0.242094547
y2643	0.332488107
y2644	0.002788342
y2645	0.332147403
y2646	0.458090156
y2647	0.041883016
y2648	0.602675529
y2649	0.984232074
y2650	0.152629149
y2651	0.10440072800000001
y2652	0.73217962
y2653	0.387718788
y2654	0.361157577
y2655	0.298508896
y2656	0.342058354
y2657	0.05380498
y2658	0.15989276
y2659	0.703213705
y2660	0.006628714
y2661	0.10420634599999999
y2662	0.13718677699999998
y2663	0.6618718339999999
y2664	0.624306669
y2665	0.019916038
y2666	0.93956099
y2667	0.329464916
y2668	0.078180692
y2669	0.98026976
y2670	0.044352194000000005
y2671	0.25654225
y2672	0.769100705
y2673	0.12800399
y2674	0.030632378999999998
y2675	0.525345211
y2676	0.98000329
y2677	0.376097521
y2678	0.032148439
y2679	0.0052106109999999995
y2680	0.31692470699999997
y2681	0.020801136
